Id  , Concurso                                                          , Data      , bola1, bola2, bola3, bola4, bola5, bola6, bola7, bola8, bola9, bola10, bola11, bola12, bola13, bola14, bola15, bola16, bola17, bola18, bola19, bola20, bola21, bola22, bola23, bola24, bola25
714 , "722                                                             ", 05/03/2012, R    , A    , R    , A    , R    , N    , R    , R    , A    , R     , A     , A     , N     , R     , A     , N     , N     , A     , R     , N     , A     , A     , N     , N     , A
715 , "723                                                             ", 07/03/2012, A    , N    , R    , N    , R    , A    , R    , R    , N    , R     , N     , N     , A     , R     , N     , A     , A     , N     , A     , R     , A     , A     , A     , R     , A
716 , "724                                                             ", 09/03/2012, N    , A    , R    , A    , R    , N    , R    , A    , A    , R     , A     , R     , A     , R     , R     , A     , A     , R     , N     , R     , A     , A     , N     , R     , N
717 , "725                                                             ", 12/03/2012, R    , A    , A    , A    , R    , R    , R    , A    , N    , R     , A     , R     , N     , A     , R     , N     , N     , R     , A     , A     , N     , A     , A     , R     , R
718 , "726                                                             ", 14/03/2012, R    , N    , A    , N    , A    , A    , R    , A    , R    , R     , N     , A     , R     , N     , R     , R     , A     , A     , A     , N     , R     , A     , A     , R     , R
719 , "727                                                             ", 16/03/2012, A    , A    , N    , R    , A    , N    , R    , N    , R    , A     , R     , A     , A     , A     , A     , R     , A     , N     , A     , R     , R     , N     , N     , R     , R
720 , "728                                                             ", 19/03/2012, A    , A    , R    , R    , A    , R    , R    , R    , A    , N     , R     , A     , N     , A     , A     , R     , A     , A     , N     , R     , R     , R     , R     , A     , R
721 , "729                                                             ", 21/03/2012, N    , N    , R    , R    , A    , R    , R    , A    , N    , R     , A     , N     , A     , N     , N     , A     , N     , A     , A     , A     , A     , R     , R     , A     , R
722 , "730                                                             ", 23/03/2012, R    , A    , R    , R    , A    , A    , A    , N    , A    , A     , N     , R     , A     , R     , A     , N     , A     , N     , N     , N     , N     , R     , A     , N     , R
723 , "731                                                             ", 26/03/2012, A    , A    , R    , R    , A    , N    , N    , R    , A    , A     , R     , R     , A     , R     , N     , A     , N     , R     , R     , A     , R     , R     , A     , R     , A
724 , "732                                                             ", 28/03/2012, N    , A    , A    , R    , A    , A    , A    , R    , N    , N     , R     , A     , N     , R     , A     , A     , R     , A     , A     , N     , R     , R     , N     , R     , N
725 , "733                                                             ", 30/03/2012, R    , A    , A    , R    , N    , N    , N    , R    , A    , A     , R     , N     , A     , R     , A     , N     , A     , N     , N     , R     , A     , R     , A     , R     , A
726 , "734                                                             ", 02/04/2012, A    , N    , N    , A    , A    , R    , A    , R    , N    , N     , A     , A     , N     , A     , N     , A     , N     , R     , R     , R     , N     , A     , N     , R     , A
727 , "735                                                             ", 04/04/2012, A    , A    , A    , A    , N    , R    , A    , R    , A    , R     , N     , N     , R     , N     , A     , A     , R     , A     , R     , R     , R     , N     , A     , R     , N
728 , "736                                                             ", 07/04/2012, A    , N    , N    , N    , R    , R    , A    , R    , N    , R     , A     , A     , R     , A     , N     , N     , R     , A     , R     , A     , R     , A     , N     , A     , A
729 , "737                                                             ", 09/04/2012, A    , R    , R    , R    , R    , R    , N    , R    , A    , R     , A     , N     , A     , N     , A     , R     , R     , N     , A     , A     , A     , N     , A     , A     , N
730 , "738                                                             ", 11/04/2012, A    , R    , A    , A    , A    , R    , R    , A    , N    , A     , N     , R     , N     , R     , A     , R     , A     , R     , N     , N     , A     , A     , N     , N     , R
731 , "739                                                             ", 13/04/2012, A    , R    , N    , N    , A    , A    , A    , N    , R    , N     , R     , A     , A     , R     , A     , A     , N     , A     , A     , R     , N     , N     , R     , R     , R
732 , "740                                                             ", 16/04/2012, N    , A    , A    , R    , N    , A    , A    , A    , R    , R     , R     , N     , N     , R     , A     , A     , A     , A     , N     , A     , R     , R     , R     , R     , R
733 , "741                                                             ", 18/04/2012, A    , N    , N    , A    , R    , A    , N    , A    , A    , R     , R     , R     , R     , R     , A     , N     , N     , N     , A     , A     , R     , A     , A     , R     , R
734 , "742                                                             ", 20/04/2012, N    , A    , R    , A    , R    , N    , R    , N    , N    , A     , R     , A     , R     , R     , N     , A     , A     , A     , N     , N     , R     , A     , N     , A     , A
735 , "743                                                             ", 23/04/2012, R    , N    , R    , A    , A    , R    , A    , A    , R    , N     , R     , N     , A     , R     , R     , A     , N     , A     , A     , A     , R     , N     , R     , N     , A
736 , "744                                                             ", 25/04/2012, R    , A    , R    , N    , A    , R    , N    , A    , R    , R     , R     , R     , N     , A     , R     , N     , A     , A     , N     , A     , A     , A     , R     , R     , A
737 , "745                                                             ", 27/04/2012, R    , A    , R    , A    , A    , R    , R    , N    , R    , A     , R     , R     , R     , A     , A     , R     , N     , A     , A     , N     , A     , N     , A     , R     , N
738 , "746                                                             ", 30/04/2012, A    , N    , R    , N    , N    , A    , A    , R    , R    , N     , A     , A     , A     , A     , A     , R     , R     , N     , N     , R     , N     , A     , A     , R     , R
739 , "747                                                             ", 02/05/2012, N    , R    , R    , R    , A    , N    , N    , A    , A    , R     , A     , N     , N     , A     , N     , R     , R     , A     , A     , R     , A     , A     , N     , R     , A
740 , "748                                                             ", 04/05/2012, R    , A    , R    , R    , N    , R    , A    , N    , N    , R     , A     , R     , A     , A     , R     , A     , R     , N     , A     , R     , N     , A     , R     , A     , A
741 , "749                                                             ", 07/05/2012, R    , N    , R    , R    , A    , R    , N    , R    , A    , A     , N     , A     , N     , N     , R     , A     , A     , R     , N     , A     , A     , N     , A     , N     , A
742 , "750                                                             ", 09/05/2012, A    , R    , R    , R    , N    , A    , R    , A    , N    , N     , R     , A     , R     , A     , R     , A     , A     , A     , R     , N     , N     , A     , A     , R     , N
743 , "751                                                             ", 11/05/2012, A    , A    , R    , A    , R    , N    , A    , N    , R    , A     , A     , N     , R     , N     , A     , N     , N     , A     , R     , R     , R     , N     , N     , A     , A
744 , "752                                                             ", 14/05/2012, N    , A    , A    , N    , R    , R    , N    , R    , A    , A     , A     , R     , R     , R     , A     , R     , A     , N     , R     , A     , R     , A     , A     , N     , N
745 , "753                                                             ", 16/05/2012, R    , A    , N    , R    , R    , R    , R    , R    , A    , A     , N     , A     , R     , R     , A     , A     , N     , A     , A     , N     , R     , N     , A     , A     , R
746 , "754                                                             ", 18/05/2012, R    , A    , A    , R    , R    , A    , R    , A    , A    , A     , A     , A     , R     , A     , N     , N     , R     , N     , N     , R     , A     , R     , N     , N     , R
747 , "755                                                             ", 21/05/2012, R    , N    , N    , A    , R    , A    , R    , N    , A    , N     , N     , N     , R     , N     , A     , R     , R     , A     , A     , A     , A     , A     , A     , R     , R
748 , "756                                                             ", 23/05/2012, A    , A    , R    , A    , R    , N    , R    , R    , A    , R     , A     , A     , R     , R     , N     , R     , R     , A     , A     , N     , A     , N     , N     , A     , R
749 , "757                                                             ", 25/05/2012, N    , A    , R    , N    , A    , A    , A    , R    , N    , R     , N     , A     , R     , R     , R     , A     , R     , N     , A     , R     , N     , A     , R     , A     , A
750 , "758                                                             ", 28/05/2012, R    , N    , A    , R    , N    , N    , A    , A    , A    , A     , R     , N     , A     , A     , R     , N     , R     , R     , A     , R     , A     , A     , R     , N     , N
751 , "759                                                             ", 30/05/2012, A    , R    , A    , A    , R    , A    , N    , N    , N    , N     , A     , A     , A     , A     , R     , R     , R     , R     , N     , R     , A     , A     , R     , R     , R
752 , "760                                                             ", 01/06/2012, N    , R    , N    , A    , A    , A    , R    , A    , R    , R     , N     , N     , N     , A     , R     , R     , R     , A     , A     , A     , A     , A     , R     , R     , R
753 , "761                                                             ", 04/06/2012, R    , A    , A    , N    , N    , N    , A    , A    , A    , R     , R     , R     , R     , N     , R     , R     , A     , A     , N     , N     , A     , N     , A     , R     , A
754 , "762                                                             ", 06/06/2012, R    , N    , N    , A    , R    , R    , N    , A    , N    , R     , R     , R     , R     , R     , A     , A     , N     , A     , A     , A     , N     , R     , A     , A     , A
755 , "763                                                             ", 08/06/2012, R    , R    , R    , N    , A    , R    , R    , A    , A    , A     , A     , A     , R     , R     , A     , N     , R     , N     , A     , A     , R     , R     , A     , N     , N
756 , "764                                                             ", 11/06/2012, R    , A    , R    , R    , A    , R    , A    , N    , N    , A     , N     , N     , A     , R     , A     , R     , R     , A     , N     , A     , A     , A     , N     , R     , R
757 , "765                                                             ", 13/06/2012, R    , N    , R    , A    , A    , A    , N    , R    , R    , N     , A     , R     , N     , R     , A     , A     , A     , N     , A     , N     , A     , A     , R     , R     , R
758 , "766                                                             ", 15/06/2012, R    , A    , R    , A    , N    , N    , R    , A    , R    , A     , A     , R     , R     , R     , N     , N     , A     , R     , A     , A     , N     , A     , A     , R     , R
759 , "767                                                             ", 18/06/2012, R    , A    , R    , N    , R    , A    , R    , N    , A    , N     , N     , R     , A     , A     , R     , A     , N     , A     , N     , A     , A     , N     , N     , R     , A
760 , "768                                                             ", 20/06/2012, R    , A    , R    , A    , R    , N    , A    , A    , A    , A     , R     , R     , N     , N     , R     , A     , R     , A     , R     , N     , A     , A     , R     , R     , N
761 , "769                                                             ", 22/06/2012, A    , A    , R    , N    , R    , A    , N    , A    , A    , N     , R     , A     , R     , A     , R     , N     , R     , A     , R     , R     , A     , N     , R     , A     , R
762 , "770                                                             ", 25/06/2012, N    , A    , R    , R    , R    , N    , A    , A    , N    , A     , R     , N     , A     , A     , A     , R     , R     , N     , A     , A     , N     , R     , A     , N     , R
763 , "771                                                             ", 27/06/2012, A    , N    , A    , R    , R    , R    , N    , N    , R    , N     , A     , A     , A     , N     , A     , R     , R     , A     , A     , N     , A     , R     , N     , A     , R
764 , "772                                                             ", 29/06/2012, A    , R    , A    , R    , A    , R    , R    , R    , R    , R     , N     , N     , A     , A     , N     , R     , A     , A     , A     , R     , A     , A     , R     , N     , R
765 , "773                                                             ", 02/07/2012, A    , R    , A    , A    , N    , R    , R    , R    , A    , R     , R     , A     , N     , A     , R     , A     , N     , N     , A     , R     , A     , N     , A     , R     , R
766 , "774                                                             ", 04/07/2012, N    , A    , N    , N    , R    , R    , A    , R    , N    , A     , R     , N     , A     , N     , R     , A     , A     , R     , N     , A     , A     , R     , A     , A     , R
767 , "775                                                             ", 06/07/2012, A    , N    , R    , A    , A    , R    , N    , R    , R    , N     , A     , R     , N     , R     , A     , N     , N     , R     , R     , N     , A     , A     , A     , A     , A
768 , "776                                                             ", 09/07/2012, N    , R    , R    , N    , A    , A    , A    , A    , A    , R     , N     , R     , R     , R     , A     , A     , A     , R     , R     , R     , A     , N     , N     , N     , A
769 , "777                                                             ", 11/07/2012, A    , R    , R    , A    , A    , N    , A    , A    , N    , A     , R     , R     , R     , R     , N     , N     , A     , A     , A     , R     , N     , A     , R     , R     , N
770 , "778                                                             ", 13/07/2012, A    , R    , A    , A    , N    , R    , N    , A    , R    , N     , R     , A     , R     , A     , R     , R     , A     , A     , N     , R     , A     , N     , A     , R     , R
771 , "779                                                             ", 16/07/2012, A    , A    , A    , N    , R    , A    , A    , N    , R    , A     , R     , N     , R     , N     , A     , R     , N     , A     , R     , R     , N     , R     , N     , A     , A
772 , "780                                                             ", 18/07/2012, A    , A    , N    , A    , A    , N    , N    , R    , A    , N     , A     , A     , R     , A     , N     , R     , R     , N     , R     , R     , R     , A     , A     , N     , N
773 , "781                                                             ", 20/07/2012, N    , N    , A    , N    , A    , A    , A    , R    , N    , R     , N     , A     , A     , N     , R     , R     , R     , A     , R     , R     , A     , N     , A     , A     , R
774 , "782                                                             ", 23/07/2012, A    , A    , A    , A    , N    , A    , A    , R    , R    , R     , R     , N     , N     , R     , R     , R     , R     , N     , R     , R     , N     , A     , A     , A     , A
775 , "783                                                             ", 25/07/2012, N    , N    , A    , A    , R    , N    , N    , R    , A    , A     , R     , A     , R     , A     , R     , R     , A     , A     , R     , R     , R     , N     , A     , N     , A
776 , "784                                                             ", 27/07/2012, R    , R    , N    , N    , A    , A    , R    , A    , A    , A     , R     , N     , R     , A     , R     , A     , A     , N     , A     , R     , R     , R     , N     , A     , N
777 , "785                                                             ", 30/07/2012, R    , R    , A    , R    , A    , N    , R    , A    , A    , N     , R     , R     , R     , A     , R     , N     , N     , A     , N     , A     , R     , A     , R     , A     , A
778 , "786                                                             ", 01/08/2012, A    , R    , A    , R    , N    , R    , A    , N    , A    , R     , R     , R     , R     , A     , R     , A     , R     , A     , A     , A     , R     , A     , R     , N     , N
779 , "787                                                             ", 03/08/2012, N    , A    , A    , R    , R    , A    , A    , R    , N    , R     , R     , R     , R     , N     , A     , N     , R     , A     , N     , N     , A     , A     , R     , A     , A
780 , "788                                                             ", 06/08/2012, R    , A    , N    , R    , A    , A    , A    , R    , R    , R     , R     , R     , A     , A     , A     , R     , A     , A     , R     , A     , N     , N     , R     , N     , N
781 , "789                                                             ", 08/08/2012, A    , N    , R    , R    , A    , A    , A    , R    , A    , R     , R     , R     , A     , N     , N     , R     , A     , N     , R     , A     , R     , R     , A     , R     , A
782 , "790                                                             ", 10/08/2012, A    , A    , R    , A    , A    , N    , N    , R    , A    , R     , A     , R     , N     , A     , A     , R     , A     , R     , R     , N     , A     , R     , N     , R     , N
783 , "791                                                             ", 13/08/2012, N    , N    , R    , A    , N    , R    , R    , R    , A    , R     , N     , A     , R     , N     , A     , A     , A     , A     , A     , A     , N     , R     , R     , A     , R
784 , "792                                                             ", 15/08/2012, R    , R    , R    , A    , A    , R    , A    , R    , N    , R     , A     , N     , A     , R     , A     , A     , A     , N     , N     , N     , R     , A     , R     , A     , R
785 , "793                                                             ", 17/08/2012, A    , R    , A    , N    , N    , A    , N    , A    , R    , A     , N     , R     , A     , R     , A     , N     , N     , R     , A     , R     , R     , A     , R     , A     , R
786 , "794                                                             ", 20/08/2012, N    , R    , N    , R    , R    , N    , A    , N    , R    , A     , R     , A     , A     , R     , N     , A     , A     , A     , A     , R     , A     , A     , R     , N     , R
787 , "795                                                             ", 22/08/2012, R    , R    , R    , R    , A    , R    , N    , R    , R    , N     , A     , N     , A     , R     , A     , N     , A     , A     , A     , A     , N     , N     , A     , R     , A
788 , "796                                                             ", 24/08/2012, A    , R    , R    , R    , A    , R    , R    , R    , A    , R     , N     , A     , A     , R     , A     , R     , N     , N     , A     , N     , R     , A     , A     , R     , A
789 , "797                                                             ", 27/08/2012, A    , R    , R    , A    , N    , R    , R    , R    , A    , A     , R     , A     , A     , A     , N     , A     , R     , R     , N     , R     , R     , A     , A     , R     , N
790 , "798                                                             ", 29/08/2012, N    , A    , R    , A    , R    , R    , A    , R    , A    , N     , R     , A     , N     , A     , R     , N     , A     , R     , R     , A     , A     , N     , N     , R     , A
791 , "799                                                             ", 31/08/2012, A    , A    , R    , N    , A    , R    , A    , R    , A    , A     , R     , A     , R     , N     , R     , R     , A     , A     , R     , A     , N     , R     , R     , R     , N
792 , "800                                                             ", 06/09/2012, A    , A    , R    , R    , A    , R    , N    , R    , N    , N     , R     , N     , R     , A     , A     , R     , A     , A     , A     , N     , R     , R     , A     , R     , A
793 , "801                                                             ", 10/09/2012, N    , A    , R    , R    , N    , R    , R    , A    , A    , R     , A     , R     , A     , A     , N     , A     , N     , N     , N     , A     , R     , A     , N     , A     , N
794 , "802                                                             ", 12/09/2012, R    , A    , R    , R    , R    , A    , A    , N    , N    , R     , A     , R     , N     , N     , A     , A     , A     , R     , A     , N     , R     , N     , A     , A     , R
795 , "803                                                             ", 14/09/2012, R    , A    , A    , R    , R    , A    , A    , A    , A    , A     , A     , R     , A     , R     , N     , N     , N     , R     , N     , R     , R     , A     , N     , N     , R
796 , "804                                                             ", 17/09/2012, R    , A    , N    , R    , R    , N    , N    , N    , A    , A     , A     , A     , N     , A     , R     , A     , R     , R     , A     , R     , R     , A     , R     , R     , A
797 , "805                                                             ", 19/09/2012, R    , N    , A    , R    , A    , R    , R    , A    , N    , A     , N     , A     , R     , N     , A     , N     , R     , A     , A     , R     , A     , N     , A     , R     , N
798 , "806                                                             ", 21/09/2012, R    , R    , N    , A    , N    , R    , R    , N    , A    , N     , A     , A     , A     , R     , N     , R     , A     , A     , N     , R     , A     , A     , A     , R     , R
799 , "807                                                             ", 24/09/2012, A    , R    , R    , N    , R    , A    , R    , R    , A    , R     , N     , A     , N     , A     , A     , A     , A     , N     , R     , A     , N     , N     , A     , R     , R
800 , "808                                                             ", 26/09/2012, A    , A    , A    , R    , A    , N    , R    , A    , A    , R     , R     , N     , A     , N     , A     , N     , N     , R     , A     , N     , R     , R     , A     , R     , R
801 , "809                                                             ", 28/09/2012, N    , N    , A    , R    , N    , A    , R    , A    , N    , A     , A     , A     , N     , A     , A     , R     , A     , R     , N     , A     , R     , R     , N     , R     , R
802 , "810                                                             ", 01/10/2012, R    , A    , N    , A    , A    , N    , R    , A    , R    , A     , N     , N     , A     , A     , N     , R     , N     , R     , A     , A     , R     , R     , R     , R     , A
803 , "811                                                             ", 03/10/2012, R    , N    , R    , N    , N    , R    , R    , A    , R    , N     , A     , R     , A     , N     , A     , A     , R     , A     , N     , N     , A     , R     , A     , A     , A
804 , "812                                                             ", 05/10/2012, R    , A    , R    , A    , R    , A    , R    , N    , A    , A     , N     , A     , A     , R     , A     , A     , R     , N     , R     , R     , N     , A     , N     , N     , N
805 , "813                                                             ", 08/10/2012, R    , A    , R    , N    , R    , N    , R    , R    , A    , N     , A     , N     , A     , A     , A     , N     , A     , A     , R     , A     , R     , A     , R     , R     , R
806 , "814                                                             ", 10/10/2012, A    , A    , R    , R    , A    , A    , A    , R    , A    , R     , N     , R     , N     , N     , A     , A     , N     , A     , R     , N     , R     , N     , R     , R     , A
807 , "815                                                             ", 13/10/2012, A    , A    , A    , A    , A    , N    , N    , R    , A    , R     , R     , A     , A     , R     , N     , A     , R     , N     , A     , R     , R     , R     , R     , R     , N
808 , "816                                                             ", 15/10/2012, A    , N    , N    , A    , N    , A    , A    , R    , N    , R     , R     , N     , N     , A     , R     , N     , R     , A     , N     , A     , A     , A     , R     , A     , R
809 , "817                                                             ", 17/10/2012, N    , R    , R    , N    , R    , A    , A    , R    , A    , R     , R     , R     , A     , A     , A     , A     , R     , N     , A     , N     , A     , A     , R     , N     , R
810 , "818                                                             ", 19/10/2012, A    , A    , A    , R    , R    , N    , A    , R    , A    , R     , R     , A     , N     , N     , A     , N     , A     , A     , N     , R     , A     , N     , R     , R     , R
811 , "819                                                             ", 22/10/2012, A    , A    , N    , R    , R    , R    , N    , R    , N    , R     , R     , N     , A     , A     , A     , A     , A     , N     , R     , R     , N     , R     , A     , A     , A
812 , "820                                                             ", 24/10/2012, N    , N    , R    , A    , R    , R    , R    , R    , R    , R     , A     , A     , N     , A     , N     , N     , A     , A     , A     , A     , A     , R     , N     , N     , A
813 , "821                                                             ", 26/10/2012, A    , A    , R    , N    , R    , A    , R    , A    , R    , R     , N     , N     , A     , N     , A     , R     , N     , A     , A     , A     , N     , A     , R     , R     , N
814 , "822                                                             ", 29/10/2012, A    , N    , R    , A    , R    , A    , A    , A    , A    , A     , R     , R     , A     , R     , N     , R     , R     , N     , N     , A     , R     , N     , R     , R     , A
815 , "823                                                             ", 31/10/2012, N    , R    , A    , N    , R    , A    , A    , A    , N    , A     , R     , R     , N     , R     , A     , R     , A     , A     , R     , N     , A     , R     , A     , R     , N
816 , "824                                                             ", 03/11/2012, A    , R    , N    , R    , A    , A    , N    , A    , A    , A     , R     , R     , R     , R     , N     , A     , A     , A     , R     , R     , N     , R     , A     , R     , R
817 , "825                                                             ", 05/11/2012, N    , A    , A    , A    , A    , N    , R    , N    , N    , N     , R     , A     , R     , R     , R     , A     , N     , A     , R     , A     , A     , R     , N     , A     , R
818 , "826                                                             ", 07/11/2012, A    , A    , N    , A    , N    , R    , A    , A    , A    , A     , A     , N     , R     , R     , R     , N     , R     , N     , R     , N     , N     , A     , R     , N     , A
819 , "827                                                             ", 09/11/2012, N    , N    , A    , N    , R    , A    , N    , A    , N    , N     , A     , R     , R     , R     , A     , R     , R     , A     , A     , A     , R     , N     , A     , R     , A
820 , "828                                                             ", 12/11/2012, R    , A    , A    , A    , A    , N    , R    , N    , R    , A     , A     , R     , A     , R     , N     , A     , R     , A     , N     , N     , A     , R     , N     , R     , N
821 , "829                                                             ", 14/11/2012, A    , N    , A    , A    , N    , A    , R    , R    , R    , A     , N     , A     , N     , R     , A     , N     , R     , N     , A     , A     , A     , R     , R     , R     , R
822 , "830                                                             ", 16/11/2012, N    , A    , A    , N    , A    , N    , A    , A    , R    , N     , R     , N     , R     , R     , A     , R     , R     , A     , N     , A     , N     , A     , R     , R     , A
823 , "831                                                             ", 19/11/2012, R    , N    , N    , A    , N    , A    , A    , A    , R    , R     , R     , R     , A     , R     , A     , R     , R     , N     , A     , N     , R     , N     , A     , A     , A
824 , "832                                                             ", 21/11/2012, A    , R    , A    , A    , R    , N    , N    , N    , A    , R     , R     , R     , A     , A     , N     , R     , A     , A     , N     , A     , A     , R     , N     , N     , N
825 , "833                                                             ", 23/11/2012, A    , R    , A    , A    , R    , R    , R    , A    , A    , R     , R     , R     , N     , A     , A     , R     , N     , N     , R     , N     , A     , R     , A     , A     , R
826 , "835                                                             ", 28/11/2012, N    , R    , A    , N    , A    , R    , A    , N    , A    , A     , A     , R     , A     , N     , N     , R     , R     , R     , R     , A     , N     , A     , A     , N     , R
827 , "836                                                             ", 30/11/2012, A    , R    , A    , R    , A    , A    , N    , R    , N    , N     , A     , R     , A     , R     , R     , R     , A     , R     , A     , N     , R     , N     , A     , A     , R
828 , "837                                                             ", 03/12/2012, N    , A    , N    , A    , A    , A    , R    , R    , A    , R     , N     , R     , N     , R     , R     , R     , A     , R     , A     , R     , A     , R     , A     , N     , A
829 , "838                                                             ", 05/12/2012, A    , N    , A    , N    , N    , A    , R    , A    , N    , R     , R     , A     , A     , R     , R     , R     , A     , R     , A     , R     , N     , A     , N     , R     , A
830 , "839                                                             ", 07/12/2012, A    , R    , N    , R    , A    , N    , R    , N    , A    , A     , A     , A     , N     , R     , A     , R     , N     , A     , N     , A     , R     , N     , A     , R     , N
831 , "840                                                             ", 10/12/2012, A    , R    , A    , R    , A    , R    , A    , A    , N    , A     , N     , N     , R     , A     , A     , A     , R     , N     , R     , N     , R     , R     , N     , A     , R
832 , "841                                                             ", 12/12/2012, N    , A    , N    , A    , N    , R    , A    , N    , A    , N     , A     , R     , R     , N     , N     , N     , R     , A     , A     , R     , R     , A     , A     , N     , A
833 , "842                                                             ", 14/12/2012, A    , A    , R    , N    , R    , A    , N    , A    , A    , R     , N     , A     , R     , R     , R     , A     , A     , N     , N     , R     , R     , N     , A     , R     , A
834 , "843                                                             ", 17/12/2012, A    , A    , R    , R    , A    , A    , R    , N    , A    , A     , R     , N     , R     , A     , R     , N     , N     , A     , R     , R     , R     , R     , A     , R     , A
835 , "844                                                             ", 19/12/2012, N    , A    , R    , A    , N    , A    , R    , R    , N    , N     , A     , R     , A     , A     , R     , R     , R     , A     , R     , A     , A     , R     , A     , R     , N
836 , "845                                                             ", 21/12/2012, A    , N    , A    , N    , A    , N    , R    , A    , A    , A     , N     , R     , A     , N     , A     , R     , A     , N     , R     , A     , N     , R     , N     , R     , R
837 , "846                                                             ", 24/12/2012, N    , A    , A    , R    , A    , R    , A    , A    , N    , N     , R     , A     , N     , R     , N     , A     , A     , A     , R     , N     , R     , A     , R     , R     , R
838 , "847                                                             ", 26/12/2012, R    , A    , N    , A    , N    , R    , N    , A    , R    , R     , R     , A     , R     , R     , A     , A     , N     , N     , A     , R     , R     , A     , A     , A     , R
839 , "848                                                             ", 28/12/2012, A    , N    , R    , A    , R    , A    , A    , N    , R    , A     , A     , A     , R     , R     , A     , N     , R     , R     , N     , A     , R     , A     , N     , N     , R
840 , "849                                                             ", 31/12/2012, N    , A    , A    , N    , R    , A    , A    , A    , A    , N     , A     , N     , R     , R     , N     , R     , R     , R     , A     , N     , A     , A     , R     , R     , R
841 , "850                                                             ", 02/01/2013, A    , N    , N    , A    , R    , A    , N    , N    , A    , R     , A     , A     , R     , R     , A     , A     , A     , R     , N     , R     , N     , N     , R     , R     , A
842 , "851                                                             ", 04/01/2013, N    , A    , A    , N    , R    , N    , R    , A    , A    , R     , A     , A     , R     , R     , N     , A     , N     , R     , R     , R     , A     , R     , A     , R     , A
843 , "852                                                             ", 07/01/2013, R    , N    , N    , R    , R    , A    , A    , N    , A    , A     , N     , N     , A     , A     , A     , N     , A     , R     , A     , R     , N     , A     , N     , R     , N
844 , "853                                                             ", 09/01/2013, A    , R    , R    , A    , R    , N    , A    , R    , N    , A     , R     , R     , A     , A     , A     , A     , N     , R     , N     , R     , R     , N     , R     , A     , A
845 , "854                                                             ", 11/01/2013, N    , R    , R    , A    , R    , A    , A    , R    , R    , N     , A     , A     , N     , N     , N     , A     , R     , R     , A     , R     , R     , R     , A     , A     , A
846 , "855                                                             ", 14/01/2013, R    , A    , R    , N    , A    , A    , A    , R    , R    , R     , N     , A     , R     , R     , R     , A     , R     , R     , A     , A     , A     , A     , N     , N     , N
847 , "856                                                             ", 16/01/2013, A    , N    , R    , A    , A    , A    , N    , R    , R    , A     , R     , N     , R     , A     , R     , N     , A     , A     , N     , N     , A     , N     , R     , A     , R
848 , "857                                                             ", 18/01/2013, N    , A    , R    , N    , A    , N    , A    , R    , A    , A     , R     , A     , R     , N     , R     , R     , A     , N     , R     , R     , N     , A     , A     , N     , A
849 , "858                                                             ", 21/01/2013, R    , A    , R    , R    , N    , R    , A    , R    , N    , A     , R     , N     , A     , A     , A     , A     , N     , A     , R     , R     , A     , N     , N     , A     , N
850 , "859                                                             ", 23/01/2013, R    , N    , R    , R    , R    , R    , A    , A    , R    , N     , R     , A     , N     , N     , A     , A     , R     , N     , R     , R     , A     , A     , A     , A     , A
851 , "860                                                             ", 25/01/2013, A    , A    , R    , R    , R    , R    , N    , A    , R    , R     , A     , A     , R     , R     , N     , N     , A     , A     , R     , A     , A     , N     , A     , N     , N
852 , "861                                                             ", 28/01/2013, N    , N    , R    , R    , A    , R    , R    , A    , R    , R     , N     , A     , A     , R     , R     , A     , N     , A     , R     , A     , A     , R     , N     , A     , A
853 , "862                                                             ", 30/01/2013, R    , R    , R    , R    , N    , A    , A    , A    , A    , R     , A     , A     , N     , R     , R     , A     , R     , N     , R     , N     , A     , A     , R     , N     , A
854 , "863                                                             ", 01/02/2013, R    , A    , R    , R    , A    , A    , N    , N    , A    , A     , A     , A     , R     , A     , R     , N     , R     , R     , R     , A     , A     , N     , R     , R     , N
855 , "864                                                             ", 04/02/2013, A    , A    , R    , A    , A    , N    , A    , R    , A    , N     , A     , N     , R     , A     , R     , R     , R     , R     , R     , A     , N     , R     , R     , R     , A
856 , "865                                                             ", 06/02/2013, N    , A    , R    , N    , N    , R    , N    , A    , A    , R     , A     , A     , R     , A     , A     , A     , A     , R     , R     , N     , R     , R     , R     , A     , N
857 , "866                                                             ", 08/02/2013, R    , N    , R    , A    , R    , A    , R    , N    , N    , R     , N     , A     , R     , N     , A     , A     , A     , R     , A     , R     , A     , A     , R     , N     , A
858 , "867                                                             ", 13/02/2013, A    , R    , R    , N    , R    , N    , R    , R    , A    , R     , A     , N     , R     , R     , N     , A     , A     , A     , A     , A     , N     , N     , A     , A     , N
859 , "868                                                             ", 15/02/2013, N    , R    , R    , A    , A    , A    , A    , R    , N    , R     , A     , R     , R     , R     , A     , N     , N     , A     , N     , A     , R     , R     , A     , N     , A
860 , "869                                                             ", 18/02/2013, R    , A    , R    , A    , A    , N    , A    , A    , R    , R     , N     , R     , A     , R     , A     , A     , A     , N     , A     , N     , R     , R     , N     , R     , N
861 , "870                                                             ", 20/02/2013, R    , N    , A    , N    , N    , R    , N    , N    , A    , R     , A     , R     , N     , R     , A     , N     , N     , R     , A     , A     , A     , A     , R     , A     , A
862 , "871                                                             ", 22/02/2013, A    , R    , A    , R    , A    , R    , A    , R    , N    , R     , A     , R     , R     , R     , N     , A     , R     , A     , N     , A     , A     , N     , R     , N     , A
